temp,quantity,pressure,weight,time,delay,energy
42,17,1.608670501,8.271120809,8.351234695,0,32
47,23,0.8596854341,5.02547573,6.040666556,3.3,105
59,35,4.495432768,4.662352818,6.610455447,3.8,131
62,36,0.8035344105,5.816388496,5.468657706,2.8,105
53,23,4.854579095,5.98253409,6.743335163,2,45
47,21,1.715871214,3.672751403,6.440854795,2.1,60
53,29,1.124400614,3.836863178,4.797491129,0.2,20
42,18,2.174794586,10.72172991,9.523319936,3.5,115
53,29,1.559946606,6.612506787,7.853949317,1,69
44,20,1.25608561,5.009619276,6.242446888,5,130
41,16,1.329413197,5.658677952,6.99250676,4,85
28,3,1.804183255,6.456328906,6.107462859,3.3,135
31,7,2.229776409,6.656087511,6.752423115,3.8,135
58,32,0.9795452232,4.688476835,5.814755888,0.3,12
46,20,2.193166572,8.020099591,7.477658143,0.5,29
54,30,1.936950465,4.500530174,5.57904096,2.6,133
50,26,0.740872958,4.462688572,5.062942409,0.4,19
60,36,3.337837651,4.81753707,4.208539035,1.3,41
47,22,2.435025251,7.894290965,6.814303363,2.7,40
41,16,1.622653167,4.580846224,8.255547436,4,82
33,9,1.595411513,3.41585617,2.054701941,2.4,50
46,22,1.96959357,6.983587103,6.985326114,0.9,18
27,2,1.508829832,2.017997675,5.289863226,1.8,109
40,16,0.751668133,6.514924505,8.035624878,2.2,42
48,22,2.656955241,4.954841431,5.538235363,1.1,78
65,41,2.501545369,4.608383984,6.266158771,1.1,51
25,-1,1.125274226,8.436788986,9.65544749,2.3,113
55,30,2.323805962,3.495973376,3.940551849,5.6,118
35,10,3.275273302,7.87423641,7.129672696,1.1,29
43,19,1.286709894,6.348512464,4.903829629,0.6,34
60,34,1.647339608,4.023591682,4.653310335,1.7,64
65,39,0.8244826561,7.434184811,4.08777244,2,121
38,12,1.648916886,9.413352255,8.75839326,0.2,48
41,15,1.171124052,8.436610634,7.855702272,5.2,80
54,28,0.9199154217,3.967994908,2.570873641,2.9,161
49,23,2.330653865,5.980075459,5.656299417,0.3,94
66,41,1.851185563,3.983031676,4.770140289,0.1,15
48,23,1.599826578,6.015904753,7.288751493,1.2,74
61,36,2.60537202,3.493426694,5.793074574,1.3,30
53,23,1.896466128,4.63971777,4.002554923,1,44
43,18,1.379111775,3.933375991,6.755553176,0.3,22
56,32,1.663014418,4.156824045,5.292646551,1.3,38
24,0,0.8686192623,8.689108346,7.430650067,0.1,35
43,17,1.86662568,5.593621329,6.112830041,2.9,69
42,18,2.156403534,5.098024949,6.937889429,0.7,43
33,7,1.228571898,4.560957455,2.999343037,0.6,32
43,17,1.041308868,7.719834197,5.810476727,2.8,49
41,14,0.9990448844,6.864028599,4.500702451,1,9
62,38,1.607574904,5.934559393,7.399178654,1.3,45
40,15,1.24758528,3.841209531,4.091922659,1,82
58,34,1.161690241,9.421089683,8.917632843,2.8,92
39,14,1.844011719,4.818012087,3.618580677,0.5,39
65,40,2.244271749,5.719454598,7.534363076,1.8,81
54,29,1.385774906,5.148345044,5.091745432,1.5,35
58,33,1.841751761,5.763100377,6.703119148,2.3,61
41,16,0.8594744423,5.747221231,3.474281937,3,73
32,7,1.187102246,8.733012468,10.13364423,4.6,112
54,29,2.082596767,8.157892624,7.311599517,0.2,12
52,26,2.370430621,4.149670426,5.744197784,0.9,38
58,32,3.154830571,9.418815942,10.33335006,0.7,73
37,13,1.872466511,1.995331746,2.374459915,3.6,84
39,15,0.8275551334,8.196556094,7.474681672,2.4,78
60,35,1.844805439,6.183206264,5.229275065,0.5,80
31,5,0.7228569543,5.462293471,3.949908071,1.3,115
34,8,1.156142678,9.320882994,5.633598911,2.7,82
38,14,1.325921733,7.109658055,6.433662973,0,74
41,16,1.762804156,2.055289031,2.543430951,0.5,70
28,4,1.092398416,8.182976598,8.502272848,1.5,81
58,34,2.203581971,8.489244088,7.27029858,7.2,149
31,1,0.9078707669,6.036950618,4.741765343,1.75,51
30,4,1.40967128,8.613314768,7.876789591,1.1,39
53,29,0.8348573049,-1.653608651,-1.649782836,1.8,98
58,33,1.26093404,7.564196258,6.083819991,2.1,45
59,32,1.225177992,4.671223117,3.931189471,2.5,49
49,25,4.008160877,2.721125565,2.801281993,0.4,128
59,34,1.152610042,2.814908355,1.954305051,1.5,42
59,35,1.591565856,2.243942189,3.495550393,1.2,18
51,25,2.732130801,3.929195363,4.742221066,0.4,31
35,11,2.510998207,3.722811046,2.112200789,2,58
33,9,2.758851094,10.12990576,9.282109023,2.1,48
25,1,1.241696156,4.436042769,2.377745139,1.6,54
49,23,0.9652605541,10.07290769,11.25869572,1.5,70
59,35,1.180938746,6.086291171,4.457223929,7.4,124
46,19,2.690235776,6.186612688,4.557547555,2.67,84
50,25,0.9187890353,6.309220725,6.27615646,3.6,83
52,28,1.820458545,4.58202841,5.429262999,0.4,163
48,22,2.064708788,7.714899548,6.317128882,2.2,42
46,22,1.354595671,5.459671447,2.990180995,7.5,118
26,0,2.881616737,7.486707968,5.784481792,6.5,132
57,32,1.504332723,2.55411053,2.846214415,1.3,24
60,36,1.01239227,2.096650664,0.07184050771,1,22
54,29,0.814844457,4.258758987,3.17048566,1.3,58
24,0,1.893581673,5.511457245,6.35968231,1.6,60
26,0,0.8627768682,7.330011135,7.731356042,0.4,15
41,17,1.079353409,2.11032898,1.623730217,2.67,83
32,6,0.7193142304,6.124764834,6.127138691,1.5,79
61,35,1.294396559,3.109579486,3.329757409,1.7,41
29,0,1.030494979,4.674556342,7.033777908,6.5,134
61,35,1.067937146,6.394579279,6.854329075,2.8,80
38,12,2.942371665,3.736375287,4.7177565,2,52
28,4,1.098682604,2.07317548,3.321849686,2.6,70
53,27,2.944402475,7.845549465,9.418877004,1.1,92
27,1,1.094687785,9.646292429,8.558302889,1.5,43
25,1,2.056115417,4.409345989,5.458083582,1,21
33,9,2.661031926,8.346529941,11.62723881,0.9,23
50,26,2.393237877,3.123111476,4.092485447,1,13
27,1,2.711685342,5.692594505,5.315346958,2.1,112
27,1,1.228650459,9.480369046,8.630881176,2,138
52,28,2.012092879,4.852394072,3.606522146,0.4,11
38,13,1.83691768,5.233836831,8.012861461,7.8,171
58,34,1.590460625,4.246517445,3.860795797,1.5,42
42,17,1.961777002,4.000138362,1.587976143,7.9,168
45,20,0.9501108798,10.93932601,12.36090162,1.1,85
52,25,2.510120237,8.955272216,7.354681252,1,44
29,3,3.684325655,7.57179642,7.721307247,1.8,65
53,29,1.472682427,5.817577443,7.209397022,0.2,24
62,37,1.03242016,8.228009175,7.033530559,0.1,11
51,27,2.008972387,7.380506924,7.676829728,1,38
36,12,2.691156118,7.512507906,5.582479703,0.7,10
24,0,1.032251352,4.820377646,5.303185685,1.5,135
29,3,0.7478212339,2.915566205,5.893396214,4.1,148
52,26,2.15355712,7.271548242,7.073104521,1.5,63
39,14,0.7362357166,5.731751331,6.588931515,1,115
48,23,2.09460748,4.923976338,6.412887683,0.3,45
46,21,2.162825885,6.298114679,4.94078223,1.9,159
64,40,1.324296648,8.119555609,7.628706127,2.1,169
55,29,0.7535567549,10.20528209,10.34392661,1.4,112
60,36,1.188370728,6.318462947,5.870954576,4.3,93
51,25,6.07364436,5.694820335,5.352686247,0.3,29
50,23,1.233585826,3.36658166,5.50587507,2.67,85
48,24,0.7267168736,4.00339716,4.179193059,0.6,21
53,29,4.146101877,4.872167427,4.219613771,6.8,144
34,10,1.23392948,3.483318434,4.403758444,1,13
48,24,1.107338432,5.372295502,4.193877421,5,165
55,31,0.9362071686,4.888001501,3.808862822,0.7,9
27,3,1.145759481,4.940523431,7.101949572,0,59
36,11,0.7496944271,7.448638554,5.757381792,5.1,158
32,6,0.7794068751,8.587908771,8.273274867,1.9,29
35,9,4.385276699,-0.01756107291,-0.02566031155,1.4,20
30,3,3.001836926,5.437567746,6.588676987,2,68
58,34,1.414547432,4.333541509,4.123634508,2.2,65
56,31,0.8629764428,2.474953937,3.306288958,1.9,61
38,12,0.8198608732,6.144636294,6.243846439,1.4,91
49,25,2.227152142,1.404960556,5.381837227,1,31
34,10,2.151102695,7.937180806,9.612391498,0.1,71
40,16,1.739058189,11.45643151,11.12438393,2.67,73
64,39,2.429739065,10.39469708,10.18410193,3.1,172
51,26,3.281668579,5.126647865,4.088917581,0,20
44,18,0.7154162937,6.448325723,6.957338644,0.2,55
46,22,1.035962079,3.161387572,2.911211402,1.7,69
57,33,1.090987922,6.547108463,5.701800979,7.4,155
54,28,0.8915642939,-0.353543206,1.6850104,1.9,94
38,14,1.960453457,6.433813463,5.002547192,0,92
27,3,1.039727541,3.529209493,3.27427475,0.6,125
39,14,1.393529512,4.670087911,3.668450363,3,74
44,20,1.932398415,6.184865444,5.850797631,0.3,72
56,30,0.7242489454,7.2590961,7.290898944,2.2,61
32,6,1.646982982,6.78369749,6.559749436,0.3,25
45,19,0.8479068618,9.51360826,6.558920111,1.7,83
26,2,1.008647142,5.463867703,5.758626375,2.5,104
55,25,1.52047215,5.908471686,5.12268862,1,41
52,27,4.339821703,6.729860232,7.891587678,1.8,58
39,13,2.785580397,5.977819142,3.946326425,1.5,93
24,-1,2.14525068,4.98416885,4.578020283,1.7,39
47,23,1.226941411,2.100373876,3.873922353,7.5,148
47,22,0.7202222333,4.934431593,5.07791412,1.9,53
48,24,1.262772914,8.493706626,8.072426009,1.7,71
47,22,2.225820493,5.742544536,6.539144877,2.8,92
35,10,1.318898105,6.438346921,4.863270489,2.1,61
46,19,1.801939669,4.808290574,5.404496724,2.5,38
62,37,1.274021951,4.268648097,4.366406614,1.7,58
26,1,2.119727526,7.352387958,7.677281483,0.8,80
38,8,0.8143764834,8.16897424,8.70398762,1.8,71
43,18,0.9254111338,6.842154113,5.864717432,0.5,89
62,38,0.8356303546,2.313285217,2.186881702,1.8,83
57,32,0.7149802029,6.380526309,6.094132582,0.2,28
28,3,0.8189310637,8.424086326,10.36865043,1.7,52
51,26,2.234760744,6.120909037,8.45169327,1.2,70
48,22,1.626601963,3.237403459,2.21633873,1.4,71
41,16,0.8358756568,5.854965982,4.451944893,3.7,75
65,39,2.015510843,6.332271643,8.232923701,7.9,170
41,17,1.604664287,2.557954844,4.474765371,0.8,78
35,11,1.125013775,7.662970398,6.092244569,1,25
38,14,2.037830069,3.865263222,3.146991155,0.6,60
53,29,1.756103757,6.887807886,4.292161831,2.7,120
55,29,0.8783134378,5.099139169,5.88610819,1.4,99
26,1,0.8568166391,2.718018374,6.271926407,2.6,55
30,6,0.7436665186,8.557197852,9.250491446,1,29
54,28,1.136291922,5.422241049,5.332849294,6.2,170
65,40,1.996356675,1.192334858,1.72953625,2.2,53
47,21,0.9890476263,3.77237859,4.905549948,0,138
65,41,3.03379989,7.905018542,8.722372298,3.9,134
66,40,2.43130802,6.825211114,5.590506799,0.7,42
26,0,1.912721022,7.415113321,6.192218214,2.3,99
66,41,0.8645712807,5.067239378,3.528739478,0.5,18
35,9,0.9029359954,3.573840472,3.084604119,0.3,24
56,30,2.176714034,1.86102667,4.863338881,1.4,55
51,27,5.386933914,7.899546721,7.516436604,0,58
42,16,1.705512453,6.475562565,5.386262736,1.2,111
49,23,1.562816131,6.221330656,4.77197949,0.3,33
27,1,0.9939801056,5.855724213,6.529112612,1.8,74
45,19,0.7165620173,4.460978332,4.934561644,0.7,38
49,23,1.399864058,6.110169337,7.493793517,0.6,23
63,38,2.528376699,5.615162955,6.206153502,1.5,61
47,22,0.8890258178,2.510470288,3.830449262,2.9,81
64,39,2.428143553,9.21034344,7.008171279,2.5,129
43,13,0.9571096192,3.821433734,4.380612373,0.75,33
60,36,1.122689232,4.477634204,6.681711994,2.2,63
40,14,0.7757232324,10.45172507,9.861794179,1.4,70
29,3,1.469192004,4.055935173,1.370067336,0.2,45
41,16,1.9548049,9.434932333,11.27999117,0.5,65
30,5,0.7971003287,9.360407846,9.329948575,2.2,74
49,24,1.22918615,10.02829201,7.799847034,1.8,50
30,5,2.621185006,3.230876276,3.256573699,0.5,22
29,2,3.159848731,2.386823569,3.469667296,1,30
50,26,1.235130024,6.151660109,6.940807307,1,21
39,14,3.296184742,2.933946281,3.390270069,3.9,155
33,8,2.942971661,4.511591518,3.617689914,2.1,64
57,31,0.7313811563,7.625280377,7.077324713,2.6,65
34,9,3.277164085,7.958218779,9.266790704,0.7,71
61,36,0.7125125496,1.481485883,1.841228804,0.5,40
44,19,3.40631375,7.140284842,7.475374057,0.5,69
40,13,0.7026412298,9.00796531,6.882631126,2.33,69
51,25,2.765090474,4.839285065,6.191202264,0.6,45
37,12,2.014551729,3.3074002,5.52618347,0.7,62
44,19,2.611465018,5.040069096,6.291281026,4.3,172
42,15,1.40038337,5.617763198,5.953076399,1,24
51,25,1.593810992,5.370125705,6.360037849,4.9,80
43,16,3.401182012,6.084860597,6.459282852,0.67,8
30,5,3.120235267,4.308079518,3.563543631,0.8,38
45,19,2.554076344,3.500638135,4.44757368,2.6,93
35,9,1.377497635,7.192098545,7.198442201,2,55
60,34,2.357719329,5.669197843,5.203998243,1.7,64
34,9,0.9169018031,7.795635221,8.413978098,0,122
55,25,1.796390315,1.858482357,4.84030113,1.4,70
43,19,0.7476500853,0.9346636415,-0.5761737519,3.2,81
41,15,1.081291099,5.451593521,7.543172786,5.5,159
34,9,1.789371448,5.233219297,6.565704156,1.3,70
65,39,2.246235804,6.670870833,6.838318759,6.9,150
45,21,5.295011199,7.819282069,7.196287514,7.5,152
49,25,1.597954465,9.152616116,9.117556868,3,195
48,23,0.717438909,5.1528262,3.602574469,0.1,22
60,35,0.7781649287,5.117073926,4.787302733,1.3,22
55,29,0.7523467301,5.295461097,6.594420514,0.8,79
42,18,1.145587498,8.863343202,8.1375724,1.4,33
32,8,1.382126467,5.520710589,5.432237187,4.33,128
62,38,1.047008586,5.716042844,1.482635913,3.8,91
57,32,1.283810504,5.460677351,5.888990464,0.9,39
52,26,0.9882207105,5.104964043,3.943505807,7.3,121
36,6,1.113316981,6.815089099,8.851123681,0.67,21
34,9,1.023682495,6.050001063,7.104193753,2.3,41
63,37,4.600765112,1.883446918,4.013930527,0.7,45
24,-2,1.43479548,2.677664242,4.43791612,0.3,51
57,31,1.515438843,6.937035793,6.47163696,1.6,165
40,16,0.7075360957,4.205025371,2.350690367,4.2,119
27,2,2.033957593,8.61859173,7.193444528,1.8,110
65,39,1.246552592,7.069200802,7.158753415,0.7,20
60,34,1.163651809,5.346577863,2.85958692,0.8,64
44,20,0.7482656691,3.790102172,3.557377333,4.4,101
63,39,1.355346262,8.903100556,7.985411967,3.9,101
59,34,3.017556611,6.895207071,5.505853495,4.4,99
56,30,1.056724685,4.359755473,4.311240745,6.1,158
54,28,3.316072484,5.338829638,5.991093484,1.9,89
52,27,0.9877801557,6.125810705,2.485398601,1.3,80
58,32,1.337654588,7.41609726,5.06212127,2,114
60,35,1.359542613,9.471278597,10.41006401,0.5,49
28,4,1.917985118,5.572676576,3.705123335,6.33,191
54,30,1.315777152,6.848309038,5.784959987,1,78
32,6,3.573057055,8.235371737,8.546227345,1,28
59,33,1.34205343,9.651022699,10.57798048,0.8,42
63,38,1.418936309,6.820479689,5.497234622,2.5,140
48,23,1.692766191,5.460133223,4.723081878,1.3,45
56,32,2.429710012,3.686521235,4.885025505,0.3,122
36,12,1.856729726,7.276901366,7.098130722,2.6,65
57,27,0.9205216078,2.865669518,5.736100056,1.4,68
29,3,2.488187139,5.418577728,4.337368941,2,153
39,13,1.238090726,7.181679476,8.173348894,1.4,89
59,34,1.77238513,4.524594557,2.875213139,2.6,91
31,6,1.85323634,4.908746179,6.822398806,2,55
43,19,1.414729924,1.767704257,0.4047432673,3.3,118
35,5,2.067307802,6.273603369,9.567675263,0.67,22
54,24,0.879945359,5.490816966,3.343196297,1.4,63
51,27,1.061629688,6.28662516,5.07386342,0.5,12
44,19,0.9604704572,3.780270651,4.204307041,2.7,50
25,0,1.202819204,9.118215067,10.39032349,1.6,43
40,15,1.405000091,6.441887088,6.438879122,6.6,173
26,2,1.320631189,7.208746717,8.601528285,3,60
39,14,0.8609746527,5.351632215,5.306183728,1,113
28,4,5.945472743,3.383254674,3.93557012,5.3,155
52,28,1.597287111,3.824595289,4.186542764,1,91
53,29,0.9877431114,6.075059948,6.28762454,1.1,55
44,20,3.305583685,5.560879032,7.291243357,1.4,173
43,19,1.428007577,7.022135928,7.453575186,0.3,71
56,30,1.043517091,6.172889028,6.440280124,0.4,24
38,14,1.726792243,6.097680634,5.015600957,2,42
30,6,2.227606823,4.076725935,4.745380056,4.33,141
32,6,0.7167364475,8.012710735,7.975707386,1.9,32
35,10,1.04681514,3.705512266,6.043831994,1.3,55
43,19,1.00333229,3.422879811,5.737950663,7.5,153
58,32,0.8924267479,2.780211792,3.491934433,1.4,113
25,0,4.235238095,2.868811824,5.14837466,1.7,30
54,24,4.365532905,6.725019172,6.025189263,1,29
57,32,2.206121484,3.413188983,1.489726897,6.8,174
50,24,1.533500434,4.656711686,7.412305679,0.3,35
32,8,2.201184546,6.050227281,4.970483931,2,98
63,37,1.188476281,4.347084006,5.345890628,1,30
31,6,2.574942562,4.610954652,3.313648749,2.5,58
36,12,3.94511214,9.425401499,8.565583701,1,25
58,34,2.288410462,5.521047187,7.16779373,0.7,19
56,30,0.9162937579,7.760456825,7.922231808,0.7,44
49,25,3.212320762,2.835732431,3.983063912,1,20
30,5,1.37499223,10.53361926,11.66834289,3.1,98
33,7,0.8847437961,6.835152248,6.500369492,1.6,90
45,21,2.283412796,5.246608421,5.13323006,0.7,61
30,5,1.175056163,5.138713907,7.666385613,2,40
47,23,1.36526355,6.003794994,8.607655625,2.1,38
25,0,0.7933052811,4.823690631,4.116109258,1.7,28
63,33,3.135080156,7.05564109,7.90179054,1.5,34
55,29,1.158922037,7.77859924,9.203060496,2.3,73
65,41,5.91872898,5.810666957,7.489549812,2,133
44,18,0.9913979951,6.635028816,4.758372807,0.2,53
51,25,1.329266698,8.102748821,8.8719351,0.6,21
35,9,3.313687505,2.095066916,2.537750575,0.9,40
30,5,1.501034772,6.425731965,8.872467703,1.7,41
31,5,0.7553169291,4.39781607,4.827081341,1.8,82
54,30,1.213704618,4.635913631,5.246444025,3.4,100
45,20,1.409691545,9.9176895,9.18518668,7,155
45,19,0.9952424221,4.7774715,6.137890092,0.2,45
58,32,1.039088377,3.062375362,4.047170208,0.3,9
54,29,2.172057847,9.166895106,5.209880197,1.8,48
53,28,0.703335217,6.258670486,5.679781107,0.1,18
33,9,1.76496,4.294026753,6.69422371,3.4,80
60,35,0.7418421537,5.847967262,6.96516527,2.8,64
50,24,1.034091286,5.410990405,3.764173402,0.1,29
26,2,2.414813272,6.076171401,8.623233117,0.7,48
54,30,0.873746283,10.84958897,8.468539246,0.4,23
28,3,2.468764613,6.687535986,7.970694036,0.2,84
36,10,1.770055419,9.777858416,8.317007596,6.6,179
29,2,1.216769082,5.871211477,6.666983426,1.5,30
54,28,1.451755458,9.674706061,9.604675892,4.9,93
55,30,1.257580546,7.281574327,6.352570372,1.9,39
61,36,1.115163048,6.389994507,7.053099716,0.5,60
36,11,1.165044413,9.381399859,9.603448264,3.8,133
45,19,2.262425506,4.056169517,4.140080507,2.4,125
64,40,2.494111703,4.327062169,4.083498928,1.8,58
60,36,1.083517988,4.039008901,2.983135093,2.8,89
49,22,1.709939659,7.84175446,10.14024565,2.67,82
47,23,1.25024212,6.49124949,5.381574715,3.3,110
60,36,1.085418187,6.61951337,6.659638789,2.3,54
45,20,2.149574525,2.846378604,4.24613457,1.9,89
32,7,1.774716484,5.401745362,3.448756309,2.3,42
52,28,3.536893095,10.05495577,7.695123869,1.9,41
35,8,1.007860301,7.600598516,7.01550006,1,38
40,15,1.108295856,6.039085194,3.735942054,0.4,85
53,29,1.315312822,9.404897862,6.845824599,1,83
27,0,0.7351946927,5.586460952,6.922915194,1,33
58,33,0.726292437,6.819701297,7.048878579,2.1,50
47,22,1.037721719,7.68777904,7.615972946,3.6,58
28,3,1.027923895,6.760220825,7.155256988,3.1,115
46,20,3.76311367,4.353583016,4.313671455,6.3,145
43,19,5.806988966,3.41085254,4.176946639,7.5,161
56,30,3.409346821,9.756740903,7.41172335,0.2,38
28,3,0.8062178572,3.462626518,3.808946835,0.8,28
42,18,1.807834555,5.935467821,9.143893131,2.33,75
32,7,0.8254001315,6.801519419,9.655113973,1.3,35
62,38,2.739411112,6.566106563,7.414707737,1,24
37,13,0.9420426152,0.9981747479,3.329753109,0.1,78
51,26,1.109926525,2.097053097,3.621440056,1.3,113
39,13,1.59207799,4.176930041,6.010444146,2.1,75
43,17,1.09085585,9.500790994,8.202454865,5.7,91
52,28,0.9143855905,8.63445863,7.356382191,0.2,31
30,6,1.338997462,5.438982115,4.585151789,1.8,45
52,26,1.207558161,5.167160463,5.311808379,0.8,80
61,35,1.986095514,2.238145199,2.813131277,1.4,50
36,9,0.7061919347,6.758428791,5.867378288,1,31
58,32,3.745433792,4.589250136,4.440231491,3.8,113
47,23,0.9332902468,6.337944457,5.50722532,0.6,29
64,39,1.034492248,10.0031627,9.000312398,1.5,59
52,27,1.429787119,5.321821736,6.039020564,1.3,43
58,28,1.193173951,6.896339097,6.299232734,3,122
48,24,3.442072367,6.136339322,6.757433628,1,29
64,40,4.01734099,3.655942535,2.81499606,0,91
58,32,1.208574197,4.79143044,5.505459169,2.2,65
47,23,1.020072298,5.503100129,5.0098182,1,22
49,23,1.884620732,6.328991451,5.851406429,1.4,71
31,4,0.9756672558,8.187712175,8.050856736,2,60
61,37,0.9275444859,4.586829576,4.851130135,2,60
51,25,2.01844504,7.149249173,7.183671046,0.3,69
28,-2,1.817405047,6.836803406,7.766161381,1.75,48
39,13,2.531299961,6.368275499,6.397409431,0.2,21
54,28,0.942097332,5.255001635,5.447180097,2.8,53
50,24,2.108469186,3.762270348,2.286431874,0.9,29
30,4,1.681847281,4.018470389,4.687868124,2.2,60
64,39,1.036627071,5.696554631,4.687718506,0.5,42
29,3,3.427808221,5.135161333,6.254390288,0.3,69
48,24,0.7569842595,4.994652309,3.941681133,1,20
35,10,1.603617545,5.139416737,3.659265383,3,200
60,36,2.341748537,3.436245074,3.533705994,2.1,141
55,30,1.417092046,7.224624883,6.940080831,3.7,81
29,4,2.463771715,9.839054726,8.150212498,8.3,183
48,22,1.96850982,2.192632941,2.01226277,5.5,149
43,19,2.250978296,5.975276759,7.702830054,3.6,83
66,42,2.45947468,3.94341948,3.424383027,1.9,35
25,0,0.9268150859,4.759958947,6.082527012,0.9,13
45,20,2.376642544,5.347660241,5.378471769,2.4,39
34,10,0.9456199306,3.889358304,3.217144477,0.5,21
48,23,1.957362259,7.40925925,8.157068849,0.7,10
32,6,1.757168308,5.447362708,2.776294594,1.8,84
50,24,1.685594772,9.279960339,10.08201003,0.1,30
43,19,1.593250567,1.672675277,3.671047451,0.3,31
64,39,0.7639780408,4.189556567,6.613125111,1.2,182
60,34,1.423964313,5.295982364,4.801575062,6.9,114
43,19,2.645685338,6.942529498,5.254649601,6.1,152
60,34,0.755823677,3.635503374,3.231708707,0.8,53
64,39,1.576015858,10.54928202,10.43242673,0.4,24
44,20,1.335763133,3.267959562,5.471482663,3.3,150
60,36,1.055223296,6.220753638,4.979160081,6,132
54,29,0.7646730011,4.824502936,5.583565507,1.6,68
33,9,0.9637402704,4.529894047,5.629441591,1.2,53
56,32,1.052793001,5.718348402,7.397230574,4.6,173
29,5,1.327319059,5.999935587,6.841475959,1,30
25,1,1.253211613,3.944085098,2.767477319,0.2,113
60,34,1.054957298,10.79696336,8.763689563,0.8,15
55,30,2.847170128,8.193812702,4.825420601,3.7,84
39,13,1.409708512,5.668603101,7.681336009,1.4,88
37,13,1.16006434,3.454701111,3.991931899,2.8,43
53,28,0.7272029661,7.509731701,8.378581034,2.1,43
34,10,0.9906160519,6.505060603,7.290428142,2.7,90
42,18,0.8844825555,4.662418976,2.205476369,0.3,34
60,36,0.9695477897,8.056290582,6.527177078,1.3,38
50,24,1.195385382,5.711558776,4.12765079,1,173
41,17,6.304173199,9.259215517,10.20289516,8,160
25,0,0.9496347546,6.759291113,8.101704227,0.6,44
50,24,0.94749724,7.291352068,6.060602355,0.4,83
48,22,0.8648219689,2.941554033,4.768815082,2.6,94
32,8,1.286266596,5.947782596,6.060939281,2.1,43
50,25,1.186026257,5.645483563,5.302293446,1.7,42
